userID,Category,Attribute,AddedOn
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/17/2022
FQaeh8o1SG-lJvsOS2qdpQ,Practice,Adaptability,10/19/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/1/2022
ZP99sHSqRsi5JUZGdSP3ig,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/14/2022
TR.X4sSKQIeLbJf5c3C9-A,Self,Alignment,10/14/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Self,Alignment,10/18/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/18/2022
EZo4qEA2TQeiXZ6Id.YuZQ,Self,Alignment,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Self,Alignment,10/19/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/25/2022
uJ0oMHy9RFKSbeLNfSK42g,Self,Alignment,10/27/2022
gB-SvrcGQo646AUNquVszw,Self,Alignment,10/30/2022
gB-SvrcGQo646AUNquVszw,Self,Alignment,10/30/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/31/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/1/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/2/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/3/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/3/2022
uJ0oMHy9RFKSbeLNfSK42g,Self,Alignment,11/6/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/8/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/14/2022
AtG47KqXRo2Uhlr5U-6.nA,Practice,Communication,10/14/2022
uJ0oMHy9RFKSbeLNfSK42g,Practice,Communication,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Practice,Communication,10/18/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/20/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/21/2022
kY1E1LOnRYias6MuanucrA,Practice,Communication,10/21/2022
kY1E1LOnRYias6MuanucrA,Practice,Communication,10/21/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/23/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/26/2022
uJ0oMHy9RFKSbeLNfSK42g,Practice,Communication,10/26/2022
Li53H8mSRG-EhDRDVlEKqA,Practice,Communication,10/30/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/2/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/2/2022
iBfTkb6RTcSxQeXnAVjFjA,Practice,Communication,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/3/2022
gB-SvrcGQo646AUNquVszw,Practice,Communication,11/6/2022
FxVJN3ikQdWhcuUh-ZL42g,Practice,Communication,11/7/2022
ZP99sHSqRsi5JUZGdSP3ig,Practice,Communication,11/7/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/14/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/25/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/25/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/27/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/27/2022
Li53H8mSRG-EhDRDVlEKqA,External,Compassionate Action,10/28/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/28/2022
uJ0oMHy9RFKSbeLNfSK42g,External,Compassionate Action,10/29/2022
N-tZhRZOQGWFLvAJInd.cg,Internal,Creativity,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Internal,Creativity,10/19/2022
mA.wQdR6RfeE480LclY66Q,Internal,Creativity,10/22/2022
hzCGC9k9Q6ieOU0EvW18Mw,Internal,Creativity,10/25/2022
gB-SvrcGQo646AUNquVszw,Internal,Creativity,11/6/2022
